episode, reward
0, -288.6346435969404
1, -177.13540911214628
2, -212.58914097067267
3, -360.792405185372
4, -239.15707930616568
5, -398.64746503075315
6, -373.14232504483186
7, -361.8845094144671
8, -299.0093487863776
9, -209.20382703479436
10, -107.61582990157066
11, -109.50134007530848
12, -104.45718727982681
13, -187.29184715919257
14, -106.35074587717682
15, -63.39575655495028
16, -104.17256153130982
17, -125.70661731694983
18, -131.7278610332101
19, -111.31112610072137
20, -133.89511219432117
21, -131.4282672590547
22, -128.93541366439624
23, -43.20790643574287
24, -66.05629171609537
25, -67.55672667691971
26, -114.965233388742
27, -144.55237481835928
28, -70.4951496521894
29, -90.01159294763121
30, -123.10793772570094
31, -144.37717730743591
32, -163.28512975972532
33, -126.23145885467932
34, -62.46984120824253
35, -83.0480367863038
36, -53.92770329171952
37, -126.42612769406662
38, -63.83113220352888
39, -112.91805887520859
40, -95.06232715513916
41, -52.256000632191686
42, -59.94147515956291
43, -182.44385933975113
44, -90.89345627231326
45, -69.31924416417174
46, -144.4093818956372
47, -62.6163186396559
48, -69.55612373184321
49, -54.04939384238535
50, -47.69971422446197
51, -45.01856189771594
52, -51.919620508718616
53, -14.056292176982666
54, -36.338285856753515
55, -26.784805470993504
56, -48.1752381481392
57, -68.46262781163982
58, -49.95239300423731
59, -40.42646717326502
60, -70.69671417075553
61, -85.34883981387927
62, -75.41548455492672
63, -72.80217395094445
64, -72.15848323806843
65, -46.44979610344734
66, -58.76107674892456
67, -61.47273194402801
68, -64.0377017103377
69, -79.17459431969465
70, -38.432063980673725
71, -84.34103260631119
72, -84.7476426846793
73, -52.276996696844414
74, -87.98424441111567
75, -72.62832367316751
76, -79.10089566884551
77, -38.144564605126895
78, -53.66847152229221
79, -62.15973507184516
80, -33.26375924682966
81, -69.75091286266561
82, -57.15100501151838
83, -61.826022319715946
84, -35.2499506229966
85, -46.19841974282079
86, -23.525997775901136
87, -65.22603018964861
88, -48.055212501400426
89, -54.1362690243855
90, -14.261317952698171
91, -35.77940251217815
92, -37.96938410296983
93, -57.764429327811584
94, -52.01573949144194
95, -35.48513557356025
96, -39.75102452116508
97, -42.39960959355376
98, -57.30565144155856
99, -40.104520344936205
100, -72.87861641711537
101, -32.893812860281464
102, -39.483955002858245
103, -47.36404692726516
104, -48.988427788833675
105, -33.738096456931856
106, -30.857586013831643
107, -32.92352198992504
108, -56.35876904199068
109, -30.646662312135703
110, -52.052142322548235
111, -44.86329593555184
112, -43.84566529012872
113, -37.44419474719287
114, -28.424766768436264
115, -94.24360321324222
116, -48.777919654132994
117, -66.66514193038341
118, -54.547404800841264
119, -25.994566160621744
120, -47.21583735266807
121, -37.979895256792666
122, -54.409642508960005
123, -43.814455068783694
124, -56.60600060471131
125, -58.1063698315875
126, -39.039432895624635
127, -50.58333453955191
128, -64.89737664119663
129, -83.89104251983
130, -45.411085517424794
131, -42.205473519035806
132, -16.208712135822378
133, -15.520063325054064
134, -62.48250469100957
135, -40.89727892872024
136, -28.27665459168789
137, -15.07532040529573
138, -46.99448552682432
139, -128.7112908671264
140, -39.924213860795035
141, -26.769217666670308
142, -45.89272799014401
143, -32.96830142112792
144, -53.09583063837296
145, -45.25970051641259
146, -56.97856210710309
147, -15.956712998441617
148, -28.284546587555006
149, -29.17604339075465
150, -51.89620456980996
151, -45.23365955173136
152, -34.1406403348085
153, -39.34397458603265
154, -36.45077688933632
155, -55.66190360186972
156, -31.179759558372517
157, -134.31298426993604
158, -32.832067085811644
159, -45.35828835308764
160, -36.58380153944
161, -34.50641970147478
162, -46.56162128736771
163, -50.72200450606212
164, -52.103546895768574
165, -16.318519556474314
166, -45.17934903151996
167, -16.428021390562435
168, -31.38098028448629
169, -14.939174189612334
170, -42.248639720152575
171, -51.091284400919506
172, -41.08213595084504
173, -28.397453135320703
174, -45.585323691935166
175, -62.819435197675126
176, -28.458814713095116
177, -70.45776551099942
178, -44.84361492181267
179, -47.66573340951008
180, -27.907007004899643
181, -34.58096958759845
182, -41.98520597539316
183, -45.93354734995956
184, -15.955305337780011
185, -15.955305337780011
186, -52.46684075770533
187, -32.768935588535264
188, -16.034537283451623
189, -70.18686878189614
190, -49.36620730086057
191, -63.10252967465719
192, -36.664842488510956
193, -14.95970776018455
194, -28.799466542895864
195, -49.17184696753281
196, -46.50101201485671
197, -67.86615608577861
198, -16.457324477797215
199, -16.57511183140782
200, -37.42462879720271
201, -24.682843708330605
202, -15.812062279839836
203, -29.683671063647758
204, -16.486649102700472
205, -27.0052942672451
206, -14.95970776018455
207, -44.91159953663608
208, -14.95970776018455
209, -14.95970776018455
210, -20.019082743291
211, -15.002825853720644
212, -23.05245863418799
213, -15.083244481716552
214, -14.95970776018455
215, -15.581658362416476
216, -37.868731170632955
217, -23.05245863418799
218, -16.54344850337537
219, -14.939174189612334
220, -14.92514752030209
221, -14.92514752030209
222, -14.936981616588163
223, -14.911672236278818
224, -23.234187057352994
225, -35.96055616916268
226, -15.325607642266355
227, -27.83014239931387
228, -14.879597541360944
229, -34.99590036668047
230, -35.98609181677298
231, -45.35853253040453
232, -59.73462941857886
233, -49.167316765654505
234, -19.032460296593996
235, -15.002825853720644
236, -15.002825853720644
237, -44.84003104957769
238, -14.939174189612334
239, -41.179069484669796
240, -15.389762283296509
241, -47.91527393702816
242, -15.548981457626915
243, -15.389762283296509
244, -40.776813172828646
245, -19.364659668739606
246, -37.24936097388363
247, -35.87685619644625
248, -33.092157861176176
249, -15.154506611129772
250, -31.6567818244433
251, -33.46842442506506
252, -28.63089317782917
253, -22.98827383598432
254, -14.95970776018455
255, -14.95970776018455
256, -16.053137716524024
257, -15.002825853720644
258, -52.970269915786275
259, -40.64735475328036
260, -19.36809047353517
261, -19.36809047353517
262, -40.43328915295256
263, -34.9627109826418
264, -19.97017948426574
265, -15.531695864762835
266, -27.5620604838854
267, -16.08937411699471
268, -45.75794651577915
269, -41.85704931550537
270, -16.734467418074075
271, -32.12500529349148
272, -64.30400613148448
273, -15.002825853720644
274, -15.002825853720644
275, -14.76621434573467
276, -23.862245842445603
277, -14.76621434573467
278, -18.703088371661586
279, -25.617628162462225
280, -15.002825853720644
281, -15.002825853720644
282, -39.64911859379612
283, -21.566411377863062
284, -27.116069967739772
285, -50.36601720565659
286, -14.95970776018455
287, -34.07407536845613
288, -57.76700814019305
289, -14.95970776018455
290, -15.368349205695353
291, -58.387464300893875
292, -16.84681598732414
293, -14.872268808368517
294, -14.92514752030209
295, -17.792253801741776
296, -23.370522662783966
297, -16.07604336855937
298, -16.04328064228139
299, -14.76621434573467
300, -14.95970776018455
301, -14.95970776018455
302, -14.95970776018455
303, -15.057635230373489
304, -31.148551522773097
305, -52.08212332195626
306, -14.95970776018455
307, -16.995227633471327
308, -16.57511183140782
309, -15.002825853720644
310, -16.681719608860224
311, -14.95970776018455
312, -14.92514752030209
313, -14.92514752030209
314, -14.95970776018455
315, -14.95970776018455
316, -14.807809551119547
317, -26.235992003062744
318, -14.95970776018455
319, -44.23138747340364
320, -15.900939055478275
321, -36.46676892811657
322, -14.872268808368517
323, -27.69377241626005
324, -15.184494861428714
325, -14.95970776018455
326, -16.732005768414506
327, -33.912807285699586
328, -14.95970776018455
329, -32.034128030241725
330, -31.71875865714557
331, -14.95970776018455
332, -19.056879782888018
333, -14.76621434573467
334, -28.878520734206223
335, -15.002825853720644
336, -14.95970776018455
337, -15.300006688315033
338, -14.95970776018455
339, -68.55108064308783
340, -23.00953468599702
341, -15.188021551337798
342, -14.76621434573467
343, -29.799913590038038
344, -20.517728530097898
345, -17.823837842562114
346, -28.07509697966461
347, -15.5383945819895
348, -38.780972863866694
349, -15.5383945819895
350, -56.167500441852084
351, -84.15074015142541
352, -49.94571247522417
353, -21.402455484970787
354, -15.697183505081082
355, -15.850222729819798
356, -18.963605965788073
357, -52.434378828643105
358, -15.719340834573323
359, -20.176244528293005
360, -30.277932519179387
361, -15.32148101680908
362, -15.32148101680908
363, -15.304801682980674
364, -14.76621434573467
365, -14.76621434573467
366, -15.653171371183884
367, -15.62683829999165
368, -21.64269533286678
369, -28.55880504899093
370, -32.59062181737739
371, -37.60233387458794
372, -39.84582171754024
373, -18.600967970683797
374, -18.678630036326297
375, -15.32148101680908
376, -18.38746596797307
377, -14.76621434573467
378, -14.76621434573467
379, -14.76621434573467
380, -47.53663361861694
381, -24.091462832793017
382, -16.128442479852275
383, -21.21348437153759
384, -25.536253738182786
385, -14.770445255817435
386, -16.590822698318334
387, -16.142336420987576
388, -16.142336420987576
389, -16.142336420987576
390, -20.32783099050625
391, -19.12481714218635
392, -16.19075852759313
393, -20.240267099838317
394, -22.331330131533466
395, -22.38927433144886
396, -14.76621434573467
397, -16.817508404701627
398, -16.142336420987576
399, -23.190228814663673
400, -67.80558051236895
401, -18.279156459085577
402, -14.76621434573467
403, -14.76621434573467
404, -45.566266814813645
405, -14.76621434573467
406, -19.313072129708303
407, -16.128442479852275
408, -14.76621434573467
409, -16.598115766999925
410, -15.780346382828998
411, -20.17996817544607
