episode, reward
0, -474.39994209290103
1, -432.7647224478988
2, -874.2257350111554
3, -621.3006125671554
4, -772.6597108958349
5, -484.97946675534604
6, -579.3282251926526
7, -406.5044634389838
8, -844.5087807926808
9, -415.76137927195225
10, -687.2129823524828
11, -809.0959518871772
12, -298.852055938259
13, -382.58415115374527
14, -364.2101512103533
15, -374.2336255519307
16, -388.70478875636104
17, -290.24752191761803
18, -120.76474933083051
19, -140.1426024463797
20, -296.3762765114279
21, -284.51632323596573
22, -174.94503492004068
23, -257.7705124057219
24, -258.0705034230425
25, -208.49096052405432
26, -264.20185993071317
27, -240.62461294988609
28, -158.63867456392234
29, -231.9945880239688
30, -121.37553857916635
31, -111.22733288650592
32, -111.17404392611763
33, -139.6780807162641
34, -175.3320202051304
35, -118.38307986972852
36, -101.95492156455781
37, -111.53449299248128
38, -182.24080362799248
39, -101.8112005753407
40, -121.50545034245975
41, -115.8627123543543
42, -123.11240408200177
43, -108.53354322863879
44, -134.1722561245384
45, -167.25825369066723
46, -85.32074405594058
47, -121.83307104737897
48, -117.23098439382954
49, -115.11070881008047
50, -91.61586671991795
51, -142.46793226293127
52, -84.33221172380865
53, -97.00606394348692
54, -145.59184552803868
55, -92.9203411548026
56, -123.55506955827168
57, -148.68281591225295
58, -134.4424217044478
59, -179.6470854239259
60, -123.39191923811744
61, -89.69420345122917
62, -130.139453022323
63, -159.98430124290698
64, -88.61107103095924
65, -114.70239496723599
66, -102.26314743899711
67, -152.17914446127696
68, -91.32493243209294
69, -108.83754077691336
70, -125.84250450068653
71, -120.77581915106913
72, -118.81814146868842
73, -184.92811720245183
74, -127.30772945422196
75, -86.21216001210082
76, -128.12325291171462
77, -86.68594139898863
78, -110.83012906135328
79, -122.62936718487822
80, -141.86417104366964
81, -117.46773522470167
82, -153.87375480546152
83, -93.09061388657074
84, -74.20699617270725
85, -182.6439692587059
86, -295.4509029264437
87, -130.84877988705614
88, -114.72740914733114
89, -135.85335921323943
90, -118.77930790771745
91, -96.6006889303688
92, -264.1045115274673
93, -232.96785221387321
94, -134.92897041870535
95, -133.98501658297442
96, -176.1378691074537
97, -116.07296853347898
98, -185.75095024736925
99, -95.6821053207759
100, -200.73744240581829
101, -162.11320928641334
102, -142.22050121509452
103, -88.45388159503007
104, -93.22172786003426
105, -103.66013733710345
106, -205.54020700915422
107, -214.83732883532116
108, -108.01766909069211
109, -221.79322240287541
110, -183.83385330295403
111, -145.42184558847714
112, -120.25422830681278
113, -126.52977649756279
114, -115.47259668670783
115, -100.63337824864382
116, -81.57536110889713
117, -110.69216473209403
118, -98.01428231209594
119, -129.96173824559605
120, -107.90077990738422
121, -326.7863934633874
122, -68.04067773522691
123, -95.62724825101594
124, -129.72057041954986
125, -97.31472610846866
126, -95.96308044615095
127, -90.7373566939242
128, -100.81092393971534
129, -122.52078547553748
130, -131.2589768282822
131, -93.39897883356541
132, -116.92551911551631
133, -94.02672915370515
134, -105.39211733254203
135, -81.06029961159774
136, -118.30600305799446
137, -78.9712565958477
138, -127.95270942433406
139, -98.94375611959619
140, -93.86759158335855
141, -102.11953474073226
142, -82.06755047717279
143, -79.21537089731883
144, -529.6844245870428
145, -135.55060351277575
146, -94.03304801835051
147, -102.8587557676049
148, -81.7112741218703
149, -101.69298988328232
150, -90.91331577148266
151, -60.50816442073709
152, -111.67364014097855
153, -95.20968185931588
154, -115.73749390382821
155, -94.89337382654222
156, -126.38970558277413
157, -103.74907079893516
158, -104.93940798006479
159, -110.27570275992706
160, -136.30852084678008
161, -60.85748515530224
162, -124.89135990483294
163, -158.217746707169
164, -132.36710970460578
165, -108.27289842705348
166, -135.1873994999742
167, -87.74538338424036
168, -132.66886552979003
169, -130.009141221138
170, -114.14321815098378
171, -85.78958376102288
172, -99.8450295940518
173, -128.6808409098024
174, -130.5154112669778
175, -135.56807604869718
176, -122.88581678332181
177, -93.34439793997169
178, -87.17137146103703
179, -114.91116446196814
180, -76.80874605174503
181, -118.96099868526674
182, -113.21698207135762
183, -126.58158870509675
184, -115.64002031036485
185, -105.30587946895201
186, -97.85970157602814
187, -99.53483610985322
188, -130.93241229764294
189, -83.77470992583972
190, -87.7387966545804
191, -113.09147365418113
192, -89.33254883147659
193, -97.2406587186289
194, -98.11595088809506
195, -113.27533223156328
196, -118.4432245111058
197, -100.76049838337313
198, -81.48272017862882
199, -89.62981260451795
200, -96.65485544814781
201, -113.59379777785807
202, -82.51471478040683
203, -86.54132074374745
204, -106.61205049081728
205, -96.6595695638415
206, -119.9390489104282
207, -127.49185383294594
208, -98.32002488347307
209, -104.00173703115998
210, -92.49577017089376
211, -92.7281788627991
212, -87.71419974629234
213, -90.89206231105247
214, -92.13378757431386
215, -136.09675025708492
216, -95.45868297576554
217, -94.28308955047002
218, -90.84076029362771
219, -97.04143450455837
220, -86.2291770085076
221, -96.90085107660825
222, -126.08006953581446
223, -104.12828150741034
224, -97.28262924809061
225, -246.4667742025493
226, -91.0235723540877
227, -113.65415702270091
228, -140.42128782798565
229, -114.41512839322498
230, -82.74791438412221
231, -75.26040192141153
232, -89.66354393665618
233, -73.4581308422916
234, -80.01752476695762
235, -80.10388516414409
236, -95.91205466525331
237, -78.81308312478541
238, -80.48910924490488
239, -87.98396718793529
240, -110.91230378484946
241, -85.80583105745688
242, -101.09522450190022
243, -96.36783096352309
244, -77.59217711191027
245, -115.24670496704522
246, -103.18501736237545
247, -100.68033690166327
248, -111.42878493004608
249, -84.62471364927688
250, -89.21053140397608
251, -100.87550502204046
252, -174.86555685394865
253, -106.41737755784607
254, -93.78919771739443
255, -87.24006917758678
256, -77.56246359800564
257, -131.6439076077368
258, -92.4384200773915
259, -91.60511551327923
260, -100.23097134089805
261, -112.58130106388461
262, -73.37546495678214
263, -92.30419543194438
264, -94.5727434446241
265, -81.17614091596299
266, -72.24162354408082
267, -75.5758620640615
268, -137.50511743626754
269, -96.21767601772427
270, -88.327437867324
271, -71.0664882652394
272, -90.44530053221493
273, -109.01060921599
274, -74.54806311347366
275, -80.41218072603313
276, -81.11108742990918
277, -86.17657052834538
278, -79.29259510147833
279, -78.72213212298689
280, -74.40817057380471
281, -107.87720282173298
282, -69.27406397128567
283, -77.96609882878899
284, -71.11992706717837
285, -174.77797002824835
286, -62.742097945177534
287, -89.87991137538715
288, -100.83776261237281
289, -87.30871713675191
290, -101.210599010327
291, -71.69689944564325
292, -76.4187724047
293, -93.89537759851986
294, -77.0630949969745
295, -101.48602095586527
296, -80.48032396754398
297, -78.52383126302894
298, -113.53966135376605
299, -105.4983650469574
300, -96.09130945492535
301, -84.8424039547813
302, -77.4219122120278
303, -83.9591815623949
304, -75.29758613848453
305, -97.55549003146028
306, -66.68303182341673
307, -76.12604958491602
308, -105.00861804660067
309, -87.22460681943733
310, -81.17926591298838
311, -85.96495173060104
312, -72.7264720113449
313, -92.8037494832005
314, -81.08634114842806
315, -64.27515646660898
316, -72.32280696416758
317, -109.26867483141419
318, -128.9151797671668
319, -103.97686071462664
320, -100.0662889864534
321, -88.11935279465179
322, -97.48413240288616
323, -91.88063255092099
324, -69.60464695271666
325, -84.82566426399531
326, -120.51267276649092
327, -140.00424220422272
328, -88.50384475776204
329, -73.39228117360669
330, -108.19677840809695
331, -93.94605893379813
332, -77.56059549650186
333, -78.41519467571302
334, -77.2144627237967
335, -76.41452048107965
336, -109.4697317378845
337, -98.31254770432498
338, -75.85476381532568
339, -113.4309122917874
340, -91.11575751171168
341, -85.17483177037062
342, -127.31798506198176
343, -84.80531627329636
344, -93.1350755956166
345, -78.89090692560035
346, -96.24423101608139
347, -83.16238428386558
348, -131.49432068644563
349, -83.88387197528341
350, -60.38041653338911
351, -97.70297809325999
352, -106.74108230676914
353, -70.7645634652339
354, -80.50228946676556
355, -75.04040279453238
356, -110.87721499650362
357, -94.16685891149358
358, -79.9676920851719
359, -68.04654575370063
360, -112.94810141021085
361, -108.67006800459876
362, -65.75302214768938
363, -66.21884106850322
364, -71.99722981777445
365, -61.79729058697268
366, -78.39649451110988
367, -82.57128967148051
368, -98.74573798600454
369, -63.41007101934861
370, -86.75788875846226
371, -80.78682220326365
372, -71.46931182220959
373, -116.63061531669267
374, -74.64506419550604
375, -72.19737690313103
376, -56.442890631257185
377, -73.35622075354975
378, -80.56737290274125
379, -71.87202162353962
380, -97.60864798670403
381, -74.07228432740108
382, -78.77884549754653
383, -138.58328531398848
384, -74.19480726600469
385, -74.78060990072125
386, -74.2581787801564
387, -137.61685224360545
388, -82.19951278272518
389, -89.21738207302957
390, -106.00104330583585
391, -88.49454704278446
392, -78.58599787060713
393, -71.3678611536278
394, -71.45234687283909
395, -113.092387773393
396, -78.84272693937712
397, -81.31078324906095
398, -138.92376321975212
399, -92.40898445872469
400, -77.80752701948765
401, -75.20631087412401
402, -82.56606695149037
403, -89.16398648095952
404, -74.68776857465328
405, -71.7977900060831
406, -84.58983259621598
407, -71.37365017600742
408, -102.871779057149
409, -72.78394169289417
410, -78.01361539518079
411, -62.553911385266076
412, -80.77905853010671
413, -100.73834657580366
414, -74.35313726555529
415, -73.00210466593366
416, -75.98816466805474
417, -81.51988668738079
418, -72.67196324501133
419, -69.63238992135568
420, -83.0268784160201
421, -94.21384499528067
422, -85.40478442815254
423, -56.04381101073936
424, -70.14782979300627
425, -87.86828102333267
426, -80.41279409805144
427, -85.85279996449486
428, -59.07826015330538
429, -68.33121358895983
430, -78.60005231697282
431, -59.14969491911518
432, -71.60605255534452
433, -76.9490425880781
434, -90.28326185946594
435, -61.87807541112525
436, -74.28485229693827
437, -67.31163357912146
438, -88.24398081730094
439, -86.67939616880292
440, -67.82187469390597
441, -94.57319864992856
442, -94.1763590020697
443, -80.32655972085483
444, -79.83430967820308
445, -89.66570345959046
446, -71.86018605573831
447, -67.06312703518797
448, -82.05882342855983
449, -82.72628554146345
450, -82.33984855441085
451, -107.38536655034338
452, -81.93343674926753
453, -87.66678210221605
454, -106.0435501558629
455, -87.61785512083168
456, -109.59063794125618
457, -78.77445179586394
458, -79.46989157517113
459, -67.61403769841117
460, -58.98213987440843
461, -79.70960789888558
462, -63.680980787214054
463, -91.20288769806257
464, -71.35945383601018
465, -75.64193347252547
466, -75.51052769910319
467, -84.12199164949533
468, -72.403804567277
469, -71.82382190372917
470, -97.039072143354
471, -79.81077750634081
472, -75.51103897003992
473, -71.73764990994694
474, -70.95600909417833
475, -105.36990702431949
476, -70.82134557024163
477, -71.29452540345255
478, -79.3413983830214
479, -72.16662064584216
480, -88.07290258727289
481, -91.58121835658713
482, -68.42057912413895
483, -69.56573862061104
484, -64.25977595256774
485, -71.90300193350444
486, -114.7642110129577
487, -94.0147015669974
488, -70.2294783326135
489, -115.64425554119049
490, -55.52971611087831
491, -77.01355821126418
492, -62.4857822164702
493, -70.66253747115941
494, -82.15898400309338
495, -91.63383209606914
496, -68.90375559350224
497, -57.066672718002906
498, -68.7717731484367
499, -70.99109901006962
500, -69.59522600325045
501, -94.85684223826448
502, -68.49023889405814
503, -62.44866899489945
504, -54.99854040187347
505, -54.659125874416645
506, -68.78106640688343
507, -117.792148223647
508, -73.60995102131011
509, -60.17250169125754
510, -62.99091687727005
511, -81.21939317156452
512, -64.32685056043857
513, -91.82846134018178
514, -80.1355469465816
515, -72.10093584488654
516, -55.1356488785014
517, -76.26990162397028
518, -65.10127475369055
519, -70.14036039960519
520, -58.67256674540144
521, -62.678316625031584
522, -75.25764156433154
523, -92.09729960236982
524, -89.32943238442387
525, -57.21823487068201
526, -108.84942992426056
527, -82.32213807882333
528, -53.59572884670716
529, -67.23381324443555
530, -89.18684701202149
531, -84.15392597208536
532, -54.047657744808134
533, -97.52233310460083
534, -78.23139496140294
535, -74.4773232696899
536, -68.2327440945279
537, -54.782437005788964
538, -102.65476548443117
539, -76.86812879071947
540, -102.3535185701988
541, -74.78230143767702
542, -74.77675026638025
543, -53.97604702103098
544, -58.20962639308078
545, -74.93123708672735
546, -88.87368429024792
547, -91.55568047824313
548, -76.0046424770502
549, -71.2529397307741
550, -72.1545754206257
551, -72.30572505935947
552, -73.06868561221273
553, -73.58117356931656
554, -71.08482383944467
555, -72.22848132286173
556, -63.354506081747076
557, -92.25894178450763
558, -72.98278091267936
559, -107.24259938311529
560, -53.92800221214803
561, -87.95466753734227
562, -71.90374594912039
563, -86.08869446241648
564, -54.733131056887416
565, -79.31479526977235
566, -69.88889122306811
567, -89.09164161020809
568, -104.46898186327981
569, -97.51065650660655
570, -131.3653609313494
571, -86.24802459257634
572, -78.67664256312388
573, -75.03548610699166
574, -88.30666939908397
575, -68.5247122766875
576, -99.71412159780081
577, -71.56002390339498
578, -74.62881902298903
579, -73.83878083396674
580, -80.06714989308098
581, -93.69580957253665
582, -72.39432045079127
583, -59.10741469778368
584, -75.45057404524034
585, -82.7779132930704
586, -80.73068552975475
587, -66.1508847998226
588, -69.88410334506351
589, -81.99109588591749
590, -87.8853562045129
591, -85.44545449814281
592, -86.98629866350187
593, -72.96487785100211
594, -67.82356932588033
595, -66.77218204874988
596, -140.3848176288015
597, -72.44923335144216
598, -70.619961697205
599, -81.86527018711051
600, -56.98437628150751
601, -75.7811200525316
602, -68.71460508222637
603, -65.17757824287283
604, -77.1654506419944
605, -67.0039456123675
606, -64.92409397603161
607, -66.35044698764875
608, -69.83200000564042
609, -98.12810778984125
610, -76.60078299733978
611, -106.53975952362599
612, -64.75129061236463
613, -75.28341246418353
614, -65.99889053061342
615, -67.33819362313457
616, -91.63636550547135
617, -63.12930876752338
618, -57.70244251692337
619, -59.58486196913522
620, -55.021705081359954
621, -84.0106034932346
622, -56.403487791247045
623, -55.441990224539694
624, -74.50763294383287
625, -73.05921520147476
626, -63.509442527166684
627, -63.08837402596164
628, -122.79615378477168
629, -68.82332878321843
630, -63.692816515285955
631, -89.31173100971418
632, -54.535841991483636
633, -53.67554230964187
634, -65.70110186388982
635, -86.52168209019165
636, -99.55990868267628
637, -75.41255376109719
638, -96.42342755890621
639, -57.64360262325127
640, -54.56836468065717
641, -78.70164463708474
642, -93.28249146001781
643, -54.935152087662914
644, -53.67554230964187
645, -77.98848597103797
646, -54.99438806741591
647, -64.44290598014027
648, -57.04285462770295
649, -55.369573898166294
650, -70.79440071394575
651, -65.86262165370329
652, -56.398832755450655
653, -80.472685772702
654, -54.62579362403966
655, -73.80598116060344
656, -77.34150826119932
657, -72.10930263226192
658, -69.47633746087936
659, -106.0230669734846
660, -97.70868280140601
661, -71.74584551951966
662, -69.1519064926477
663, -59.427870509685306
664, -59.82746046006007
665, -105.4964905526275
666, -117.03194153308924
667, -60.52376711164149
668, -73.91847169073883
669, -55.24988486774542
670, -54.052145775730565
671, -71.7496931946628
672, -286.7631249397103
673, -56.232244179019375
674, -80.10993592077291
675, -87.17105135817054
676, -72.357605237429
677, -55.204982750888675
678, -97.84814195032568
679, -54.28656382639441
680, -177.59555840034724
681, -54.470901307435014
682, -97.08294920786241
683, -53.61943013855898
684, -69.82128903796337
685, -55.33902332314622
686, -54.71376721449545
687, -68.89041544142798
688, -59.40603906643399
689, -53.67554230964187
690, -77.74381638614818
691, -74.3482383404334
692, -60.86888676799538
693, -54.61613984704718
694, -55.039761762469254
695, -90.78035988522927
696, -91.57078011734562
697, -66.76785917667222
698, -55.32901620373464
699, -75.58642435786656
700, -78.96476619070604
701, -56.19284357583146
702, -91.34317062156326
703, -55.09001449558369
704, -54.04199255195657
705, -55.74659167993323
706, -69.64277659597575
707, -58.05169949009955
708, -64.03578554818318
709, -75.0047761195038
710, -64.90077820504007
711, -55.95238342591317
712, -68.45503976670413
713, -85.72469469088907
714, -81.1821850653946
715, -54.04199255195657
716, -53.664678386926994
717, -85.39565667408091
718, -59.61523962255521
719, -110.41333990661339
720, -87.47080538135569
721, -65.66005729397459
722, -69.81622211888005
723, -67.62855673200613
724, -54.29391541084094
725, -72.4641478192743
726, -54.9355694434376
727, -78.53003325016826
728, -79.18759966410157
729, -67.11608679719659
730, -56.08497712723478
731, -69.25919074170174
732, -70.9020849574633
733, -73.02530741055097
734, -85.92962568110448
735, -132.2470899872056
736, -71.78061201330377
737, -72.73041596846942
738, -66.99743069897575
739, -72.61780747002463
740, -53.566334578845726
741, -57.047936924477085
742, -61.355618600053305
743, -68.49818253471199
744, -58.27883874854892
745, -56.43569084701136
746, -73.84820736900316
747, -56.16632185112768
748, -78.88266166958132
749, -55.0297811217137
750, -56.857773547620624
751, -103.44779181890706
752, -54.04199255195657
753, -56.43049016149932
754, -59.45106516858499
755, -107.66200227152079
756, -76.04528689724245
757, -55.62602756125443
758, -68.54670781141597
759, -74.71102706991779
760, -58.061131692312316
761, -67.89272754473751
762, -73.0501015765332
763, -70.58741830095138
764, -70.3226250350291
765, -77.73301416670536
766, -111.01575838143887
767, -72.78533723032737
768, -194.10390319753958
769, -66.86895253161678
770, -67.77963628605913
771, -55.86110290373426
772, -57.78937233359025
773, -57.64775501236494
774, -53.73898850164407
775, -106.64484436633195
776, -67.27877332490668
777, -58.61630478122845
778, -94.95902487319394
779, -68.46105592155784
780, -99.39259046886522
781, -67.93650708040322
782, -71.17951340949541
783, -57.21848292024896
784, -61.159932914525726
785, -64.21271801456106
786, -98.41464006578246
787, -72.7845954164993
788, -55.48464580836081
789, -66.80610091753206
790, -73.69581833873117
791, -76.36457211227885
792, -64.81507932936766
793, -74.38287534475197
794, -78.36865410949434
795, -76.61768539931525
796, -76.36335482754805
797, -74.54640201589984
798, -54.940283308184036
799, -54.65085700670461
800, -86.95684026232573
801, -65.4032765850898
802, -61.67742050267721
803, -74.75959796487696
804, -91.4134671058047
805, -56.94877222490507
806, -66.41162733677668
807, -64.5938945777178
808, -53.72892203340871
809, -54.90369234054147
810, -54.355535103669126
811, -78.6604988457777
812, -58.42173018926495
813, -54.355535103669126
814, -60.59350126702071
815, -54.40288287031393
816, -67.40224992625542
817, -53.12976895094299
818, -64.15187727203474
819, -87.56147712856989
820, -68.76700037148333
821, -84.8575289002907
822, -53.89734798506842
823, -69.46237756017626
824, -80.7439607104665
825, -54.65372561444693
826, -74.07371077463289
827, -58.040276254611044
828, -56.18432010970935
829, -76.89884211478004
830, -85.28627348732896
831, -177.43035731227206
832, -59.85685181235927
833, -65.42723965526963
834, -67.17530293295869
835, -82.7574191551045
836, -57.97370808003521
837, -133.42525466198907
838, -102.64284017766235
839, -55.73204912794769
840, -55.80588340492967
841, -69.98414684943158
842, -54.14808428567329
843, -79.36200019007963
844, -78.90956661251118
845, -55.1689973681611
846, -83.62630147191939
847, -55.21888687467106
848, -55.494378614048884
849, -56.50657446381199
850, -65.36786496628692
851, -78.96790817791164
852, -54.760646513765906
853, -71.56275013465681
854, -57.95769803312382
855, -74.15779285561901
856, -53.08844083888012
857, -87.88345719904993
858, -55.738579191294036
859, -89.51436309620124
860, -70.05725655910882
861, -71.3976048130477
862, -84.81688084749034
863, -96.71848606071934
864, -70.16593251088679
865, -65.17370948492398
866, -81.50600314395145
867, -59.49647711818173
868, -96.22506042056321
869, -55.337150310761345
870, -70.79270985703417
871, -65.62127811074846
872, -77.33106283950814
873, -67.89215034772003
874, -54.323660913461254
875, -81.13070922321802
876, -63.28010441107061
877, -56.98498678725518
878, -68.10405417136423
879, -85.7272807801593
880, -76.88547307958602
881, -62.44076491422345
882, -75.71401958780386
883, -132.90513961982413
884, -54.87372235327635
885, -64.94477999132117
886, -58.59599442387838
887, -75.63875765691411
888, -65.91453957948868
889, -68.88417712064576
890, -70.01561204860563
891, -56.23997650029975
892, -55.3239530269188
893, -56.20132809609372
894, -55.18135070139938
895, -59.194326743518374
896, -74.71296001242868
897, -58.488140022566796
898, -76.38137856404268
899, -54.069164503588055
900, -73.77546002754335
901, -57.13259810908957
902, -56.849843503148676
903, -70.8591601332542
904, -55.88330218753309
905, -55.899202996890864
906, -78.31059040034448
907, -61.8071010945758
908, -53.45784877131305
909, -95.73179428093471
910, -78.82107845738662
911, -56.418810680401535
912, -63.56223462003538
913, -106.36667714111856
914, -53.507782328872
915, -74.9521220433004
916, -89.29781578581522
917, -65.63935594847716
918, -78.08046691993975
919, -66.24875119419262
920, -72.63268510183822
921, -73.17748435355523
922, -60.2700657171558
