episode, reward
0, -1232.4900689690546
1, -418.5955428685877
2, -1000.4795541394999
3, -955.2234893849914
4, -656.9084031730431
5, -566.4265352775996
6, -300.5729352370525
7, -294.84630024951434
8, -771.262324530698
9, -329.01907931886376
10, -224.6502496385522
11, -463.80075290443835
12, -806.0386328007538
13, -340.6469904307496
14, -289.6625807223889
15, -200.72078858099417
16, -158.03495441488417
17, -190.0295341418516
18, -157.48513061246143
19, -154.48993948666262
20, -208.29704498771056
21, -210.22411143005053
22, -668.0060373279904
23, -176.41425701796769
24, -279.03677564441745
25, -235.95428485092188
26, -290.56508164523666
27, -171.3827630509172
28, -156.33571870663263
29, -200.07858562691723
30, -157.88341864851134
31, -736.8992560878683
32, -188.12814907898604
33, -156.96487163655237
34, -139.73706530782545
35, -127.07539162693986
36, -162.01215465279472
37, -139.108243261975
38, -139.7246286070941
39, -139.90461160054912
40, -177.02443935558995
41, -164.9369670604613
42, -152.00858930341613
43, -119.5648640758564
44, -162.64398035290287
45, -139.42269884851854
46, -195.88933724500535
47, -132.0210014445774
48, -186.79278591571386
49, -142.21083199332892
50, -131.1899136007097
51, -143.9998190826021
52, -129.8216843818602
53, -187.3771878117381
54, -222.97460786288548
55, -121.64933960916882
56, -197.264799488729
57, -220.06896170994239
58, -132.9460641793403
59, -134.1840671389818
60, -212.3316032450283
61, -128.63287700463462
62, -162.24252394524996
63, -173.29007775787937
64, -171.54665111683244
65, -145.7647831131568
66, -153.85307361831616
67, -164.1169328421607
68, -137.13766122082632
69, -149.82609887690916
70, -137.70463346186946
71, -160.60174777068195
72, -350.4594565297629
73, -150.28072034549996
74, -249.32945352657887
75, -118.76359470782519
76, -138.5580103579615
77, -157.57851007245216
78, -195.30813215358114
79, -136.85973570004884
80, -138.5409650832956
81, -147.25557302436448
82, -164.70733088663377
83, -125.88691286230844
84, -148.29088411133384
85, -169.1114534761366
86, -145.84027804616198
87, -152.6587190283203
88, -153.34588233604222
89, -124.49607950584893
90, -144.3490953288759
91, -166.2237954111402
92, -121.98146293181686
93, -144.1162339558587
94, -154.2635076552889
95, -151.91595948357588
96, -130.93743944756267
97, -244.78448361342208
98, -123.14763512231879
99, -137.31453310576345
100, -176.80587341697105
101, -131.58157395112627
102, -165.5293315621173
103, -118.26720649497524
104, -148.0014265492421
105, -150.00520727657687
106, -169.3636809497311
107, -133.0393928063701
108, -122.37181201407844
109, -192.8196560279971
110, -125.46662161109701
111, -272.1746316321182
112, -197.65819582305554
113, -134.2165947671127
114, -131.82826540706884
115, -179.2709258333513
116, -171.50277782882497
117, -193.7176449485851
118, -156.5973004649669
119, -166.19214938793823
120, -183.02941326872826
121, -127.49072303870777
122, -141.93938901362404
123, -174.81766128285653
124, -181.16847681118387
125, -232.5663807526756
126, -226.33715795073775
127, -131.09003727258377
128, -150.41051741823634
129, -136.31721921770355
130, -154.79121545157065
131, -120.67387266857493
132, -130.2552228163139
133, -275.90286475750594
